Empty Room,SITTING,RUNNING,Walking
58.75,57.75,59,72
58.75,57.25,59,72
58.5,57.5,62,72
58.75,57.75,62,72
58.75,57.75,65,75
58.75,57.75,65,75
58.75,57.75,65,71
58.5,58.25,66,71
58.5,58.25,66,72
58.5,58.75,73,72
58.5,58.5,73,68
58.75,58.75,69,68
58.75,59.0,70,68
58.75,59.0,70,68
58.75,59.25,68,72
58.25,60.0,67,72
58.25,60.25,63,66
58.75,59.75,64,66
59.0,59.25,69,71
58.75,58.5,69,71
58.75,58.25,63,69
58.25,57.75,62,69
58.5,57.75,62,72
59.0,58.0,70,72
58.75,58.25,70,73
58.5,58.25,66,73
58.75,58.25,66,67
59.0,58.0,75,67
58.75,58.25,75,73
59.0,58.75,65,73
59.0,58.75,63,73
58.5,58.0,63,73
58.75,57.75,63,67
59.0,58.25,63,67
58.75,58.25,63,67
58.75,58.5,64,67
59.0,58.75,64,68
58.75,58.5,64,67
58.5,58.5,64,67
58.75,58.75,65,64
58.5,58.75,65,64
58.25,58.5,70,70
58.25,59.25,70,70
58.5,58.25,64,68
59.0,57.75,64,68
58.75,57.75,63,69
58.25,58.5,63,69
58.25,58.75,63,71
58.75,59.0,63,71
58.75,58.5,67,74
58.25,58.25,67,74
58.5,59.5,62,68
59.0,59.5,62,68
59.0,58.25,61,71
58.5,58.0,61,71
58.5,59.5,65,78
58.5,58.5,65,78
58.75,57.75,61,77
58.75,58.25,61,77
58.75,59.0,61,78
58.25,59.5,71,78
58.25,60.0,75,78
58.5,60.5,67,78
58.5,59.5,67,77
58.5,59.25,67,77
58.5,59.25,65,67
58.25,59.5,66,67
58.5,59.5,66,68
58.5,61.25,62,71
59.0,61.0,68,72
58.75,60.75,68,72
58.0,60.75,64,68
